,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_Dataset (name),A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES (Pop-based),D_PBT,D_Population based,D_Gradient based,D_SMAC,D_TPE,D_BO-Gaussian Processes,D_BO-MTBO,D_BO-BOHAMIANN,D_BO - DNGO,D_SHA,D_HB-Hyperband,D_ASHA,D_BO-Fabolas,D_BOHB,D_HB-LCNet,D_Approximation based,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Time Resources,del_Number of maximum function evaluations/ trials budget,del_Wall Clock Time [s],del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_Dataset (name),del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
129,129,,,,no,,,,<30000,,1,<30000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,25000",,,,,,,,,"0,25000","0,25000","0,25000",,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
130,130,,,,no,,,,30000:90000,,1,30000:90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,20000",,,,,,,,,"0,20000","0,20000","0,20000",,"0,20000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
131,131,,,,no,,,,>90000,,1,>90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,25000",,,,,,,,,"0,25000",,"0,25000",,"0,25000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
132,132,,,,yes,,,,<2400,,25,<60000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"1,00000",,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
133,133,,,,yes,,,,2400:3600,,25,60000:90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,"1,00000",,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
134,134,,,,yes,,,,>3600,,25,>90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,33333",,"0,33333",,"0,33333",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
135,135,,,,yes,,,,<6000,,25,<150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,50000",,,,,,,,,,,"0,50000",,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
136,136,,,,yes,,,,>6000,,25,>150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,50000",,,,,,,,,,,"0,50000",,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
137,137,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
138,138,,,,,,low,,,,,<86400,,no,,,,no,[continuous],,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
139,139,,,,,,,,,,,,,no,,,>10,yes,,,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
140,140,,,,,,high,,,,,>86400,,yes,,,,,[continuous],,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
