,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
105,105,,,,,,40:100,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,3.1352750993850904,,,,0.15676375496925452,,,,0.1425125045175041,0.03445357252071528,0.09797734685578408,,,,,,,0.6270550198770181,0.02903032499430639,0.04976627141881095,,
106,106,,,,,,<50,,,,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,no,Offline,Multiclass Classification,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,2.7525834945418546,,,,0.3551720638118522,,,,0.16433334295772267,0.12099268107876285,0.26215080900398613,,,,,,,2.202066795633484,0.1019475368348835,0.17476720600265744,,
107,107,,,,,,50:100,,,,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,no,Offline,Multiclass Classification,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,3.1069983527219884,,,,0.10022575331361254,,,,0.04637310974211923,0.03414283904090098,0.07397615125528544,,,,,,,0.6213996705443977,0.028768503265944337,0.04931743417019029,,
108,108,,,,,,<100,,,,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,2.300001650373438,,,,0.4451616097496977,,,,0.20597029704836758,0.15164846046418273,0.32857166433906254,,,,,,,2.7600019804481257,0.12777786946519099,0.2190477762260417,,
109,109,,,,,,<30,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,no,Offline,Regression,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,3.177416713862585,,,,0.7943541784656463,,,,0.09484826011530105,0.06983333437060628,0.15130555780298025,,,,,,,1.2709666855450341,0.05884105025671454,0.4236555618483447,,
110,110,,,,,,30:100,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,no,Offline,Regression,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,3.177416713862585,,,,0.7943541784656463,,,,0.09484826011530105,0.06983333437060628,0.15130555780298025,,,,,,,1.2709666855450341,0.05884105025671454,0.4236555618483447,,
111,111,,,,,,<30,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,yes,Offline,Regression,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,3.177416713862585,,,,0.7943541784656463,,,,0.09484826011530105,0.06983333437060628,0.15130555780298025,,,,,,,1.2709666855450341,0.05884105025671454,0.4236555618483447,,
112,112,,,,,,30:100,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,,,,,yes,Offline,Regression,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,3.177416713862585,,,,0.7943541784656463,,,,0.09484826011530105,0.06983333437060628,0.15130555780298025,,,,,,,1.2709666855450341,0.05884105025671454,0.4236555618483447,,
113,113,,,,yes,,<200,1800,17,<360000,Convolutional Neural Net,,,,>10,no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,0.12129697439573969,,0.45486365398402384,1.8194546159360954,1.8194546159360954,3.6389092318721907,0.24259394879147939,,,,0.14555636927488763,0.03998801353705705,0.08664069599695692,,0.07277818463744382,0.05598321895187986,0.20216162399289947,,,,0.03369360399881658,0.05776046399797128,0.06738720799763316,
114,114,,,,yes,,200:1000,1800,17,360000:1800000,Convolutional Neural Net,,,,>10,no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.09670683286082682,,2.901204985824805,1.4506024929124024,1.4506024929124024,2.901204985824805,0.19341366572165364,,,,0.11604819943299219,0.031881373470602256,0.06907630918630488,,0.058024099716496094,0.044633922858843156,0.1611780547680447,,,,0.02686300912800745,0.04605087279086992,0.0537260182560149,
115,115,,,,,,<200,,,,Synthetic Function,,,,"[1, 2, 3]",no,[continuous],,,,,,,,Offline,,Synthetic Function,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,,,,,,,,,0.598284408321502,,,,2.393137633286008,,,,0.21755796666236435,0.05259643150079139,0.1495711020803755,,,,,,,,0.044317363579370515,,2.393137633286008,
116,116,,,,,,<200,,,,Synthetic Function,,,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,,,,,,,Offline,,Synthetic Function,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,,,,,,,,,0.5899616927317007,,,,2.359846770926803,,,,0.07044318719184486,0.05186476419619348,0.14749042318292518,,,,,,,,0.04370086612827413,,2.359846770926803,
117,117,,,,,,<100,,,,Logistic Regression,,,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"0,50000",,,"0,50000",,,,,,,,,,,,,3.136187979234162,,,,2.688161125057853,,,,0.2808526548567906,0.20678162500445027,0.5880352461064053,,0.3763425575080995,0.2894942750062304,1.0453959930780539,,,,0.17423266551300898,0.2986845694508726,0.34846533102601795,
118,118,,,,,,<50,,,,Latent Dirichlet Allocation (HPOlib),,,,"[1, 2, 3]",no,[discrete],,Text Data,,,,,,Offline,Text,,,,,,,,,,"0,50000",,,"0,50000",,,,,,,,,,,,,2.25430730388931,,,,2.25430730388931,,,,0.40987405525260184,0.09909043094018946,2.25430730388931,,2.25430730388931,,,,,,0.08349286310701148,2.25430730388931,,
119,119,,,,,,<100,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[discrete],,Tabular Data,,,,,,Offline,Multiclass Classification,,,,,,,,"0,25000",,"0,25000",,"0,25000","0,25000",,,,,,,,,,,,,2.0107375958803955,,,,0.6032212787641187,,,,0.5483829806946533,0.13257610522288324,3.016106393820593,,0.2872482279829136,,,,,,0.11170764421557752,0.19149881865527574,,
120,120,,,,,,<50,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[discrete],,Tabular Data,<1000,1:4,,,,Offline,Multiclass Classification,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,2.682911064035883,,,,0.5365822128071767,,,,0.4878020116428879,0.11793015666091795,2.682911064035883,,0.25551533943198884,1.788607376023922,0.30661840731838663,,,,0.09936707644577344,0.1703435596213259,,
121,121,,,,,,>50,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[discrete],,Tabular Data,<1000,1:4,,,,Offline,Multiclass Classification,,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,,3.0357126481854118,,,,0.45535689722781186,,,,0.4139608156616471,0.10007843895116744,2.276784486139059,,0.21683661772752943,1.5178563240927059,0.2602039412730353,,,,0.08432535133848366,0.1445577451516863,,
122,122,,,,,,<50,,,,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,<1000,1:4,,,,Offline,Binary Classification,Classification,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1.7245227567748176,,,,0.4927207876499478,,,,0.10295658249401896,0.07580319809999199,1.379618205419854,,0.1642402625499826,1.1496818378498783,0.19708831505997915,,,,0.06387121321388213,0.2874204594624696,3.449045513549635,
123,123,,,,,,>50,,,,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,<1000,1:4,,,,Offline,Binary Classification,Classification,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,,2.1715212378562025,,,,0.46532597954061483,,,,0.09723229423236729,0.07158861223701768,1.3029127427137217,,0.1551086598468716,1.0857606189281013,0.18613039181624594,,,,0.060320034384894514,0.2714401547320253,3.2572818567843043,
124,124,,,,yes,,,,8,<100000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,0.13330160879203298,,,,0.399904826376099,3.999048263760989,0.26660321758406597,,0.14282315227717818,,0.059687287518820735,0.04394558531605483,0.17387166364178214,,0.07998096527521979,0.061523819442476764,0.2221693479867216,,,,0.0370282246644536,0.06347695656763475,0.0740564493289072,
125,125,,,,yes,,,,8,100000:250000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,"1,00000",,,,,,,,,,,,0.13330160879203298,,,,0.399904826376099,3.999048263760989,0.26660321758406597,,0.14282315227717818,,0.059687287518820735,0.04394558531605483,0.17387166364178214,,0.07998096527521979,0.061523819442476764,0.2221693479867216,,,,0.0370282246644536,0.06347695656763475,0.0740564493289072,
126,126,,,,yes,,,,8,>250000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.13330160879203298,,,,0.399904826376099,3.999048263760989,0.26660321758406597,,0.14282315227717818,,0.059687287518820735,0.04394558531605483,0.17387166364178214,,0.07998096527521979,0.061523819442476764,0.2221693479867216,,,,0.0370282246644536,0.06347695656763475,0.0740564493289072,
127,127,,,,no,,,,1,<150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,"0,25000",,,,,,0.3386683220471416,,,,0.14778254052966178,4.064019864565699,0.5418693152754266,,0.2902871331832642,,0.12131402580793131,0.08931911790254285,0.19352475545550948,,0.16256079458262798,0.12504676506355997,0.4515577627295221,,,,0.07525962712158701,0.1290165036370063,0.15051925424317403,
128,128,,,,no,,,,1,>150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,"0,25000",,,,,,0.3386683220471416,,,,0.14778254052966178,4.064019864565699,0.5418693152754266,,0.2902871331832642,,0.12131402580793131,0.08931911790254285,0.19352475545550948,,0.16256079458262798,0.12504676506355997,0.4515577627295221,,,,0.07525962712158701,0.1290165036370063,0.15051925424317403,
129,129,,,,no,,,,1,<30000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,25000",,,,,,,,"0,25000","0,25000","0,25000",,,,,,,,0.16585475058040397,,,,0.072372982071449,3.9805140139296955,0.26536760092864636,,0.1421612147832034,,0.05941065692432382,0.04374191224098567,0.09477414318880227,,0.07961028027859392,0.06123867713737994,0.22113966744053865,,,,0.03685661124008977,0.06318276212586818,0.07371322248017954,
130,130,,,,no,,,,1,30000:90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,20000",,,,,,,,"0,20000","0,20000","0,20000",,"0,20000",,,,,,0.16585475058040397,,,,0.072372982071449,3.9805140139296955,0.26536760092864636,,0.1421612147832034,,0.05941065692432382,0.04374191224098567,0.09477414318880227,,0.07961028027859392,0.06123867713737994,0.22113966744053865,,,,0.03685661124008977,0.06318276212586818,0.07371322248017954,
131,131,,,,no,,,,1,>90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,25000",,,,,,,,"0,25000",,"0,25000",,"0,25000",,,,,,0.3386683220471416,,,,0.14778254052966178,4.064019864565699,0.5418693152754266,,0.2902871331832642,,0.12131402580793131,0.08931911790254285,0.19352475545550948,,0.16256079458262798,0.12504676506355997,0.4515577627295221,,,,0.07525962712158701,0.1290165036370063,0.15051925424317403,
132,132,,,,yes,,,,25,<60000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"1,00000",,,,,,,,,,,,,,,,,,0.1324201117098858,,,,0.7945206702593148,3.972603351296574,0.2648402234197716,,0.1418786911177348,,0.05929258733278469,0.043654981882379935,0.09458579407848985,,0.07945206702593148,0.06111697463533191,0.220700186183143,,,,0.036783364363857166,0.06305719605232657,0.07356672872771433,
133,133,,,,yes,,,,25,60000:90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"1,00000",,,,,,,,0.1324201117098858,,,,0.7945206702593148,3.972603351296574,0.2648402234197716,,0.1418786911177348,,0.05929258733278469,0.043654981882379935,0.09458579407848985,,0.07945206702593148,0.06111697463533191,0.220700186183143,,,,0.036783364363857166,0.06305719605232657,0.07356672872771433,
134,134,,,,yes,,,,25,>90000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,"0,33333",,"0,33333",,"0,33333",,,,,,0.2613006405450433,,,,1.5678038432702601,3.91950960817565,0.5226012810900866,,0.2799649720125464,,0.11700028681121342,0.08614306831155276,0.18664331467503095,,0.156780384327026,0.12060029563617385,0.4355010675750722,,,,0.07258351126251203,0.12442887645002063,0.14516702252502406,
135,135,,,,yes,,,,25,<150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,50000",,,,,,,,,,"0,50000",,,,,,,,0.2613006405450433,,,,1.5678038432702601,3.91950960817565,0.5226012810900866,,0.2799649720125464,,0.11700028681121342,0.08614306831155276,0.18664331467503095,,0.156780384327026,0.12060029563617385,0.4355010675750722,,,,0.07258351126251203,0.12442887645002063,0.14516702252502406,
136,136,,,,yes,,,,25,>150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,"0,50000",,,,,,,,,,"0,50000",,,,,,,,0.2613006405450433,,,,1.5678038432702601,3.91950960817565,0.5226012810900866,,0.2799649720125464,,0.11700028681121342,0.08614306831155276,0.18664331467503095,,0.156780384327026,0.12060029563617385,0.4355010675750722,,,,0.07258351126251203,0.12442887645002063,0.14516702252502406,
137,137,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,
138,138,,,,,,,,,<86400,,no,,,,no,[continuous],,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,1.8576898909692583,,2.889739830396624,,,,0.28579844476450134,0.8127393272990505,,,,,,,,,,,
139,139,,,,,,,,,,,no,,,>10,yes,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,,,,,,,3.353159022857279,,,1.2071372482286207,1.2574346335714797,,,,,,,,,,,,
140,140,,,,,,,,,>86400,,yes,,,,,[continuous],,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,,,,,2.399950414759868,,0.43635462086543053,,,,,0.14999690092249174,,,,,,,,,,,
